category,cardName,hue,rgb,lightness,hue2
Any+Woman,cheers-to-you-funny-mothers-day-card,3.5999619454340412,"[239.59048746792973, 221.66607460035524, 220.5263469508585]",90.21898714093888,3.5870307873868867
Any+Woman,bling-birthday-cake-frenchlanguage-birthday-card-root-899ldq1030,3.6491318056330586,"[229.4637618636756, 212.5054644808743, 211.35073339085417]",86.43421475579014,3.8250845519935632
Mother,lessons-from-you-religious-mothers-day-card-root-629mdd2105,3.6659637585332026,"[215.73877851361294, 174.3598233995585, 171.00515084621046]",75.83214301173008,4.499531196025859
Granddaughter,unicorn-and-cat-birthday-card-for-granddaughter-root-359hkb4778,3.6791230154444645,"[239.264447806354, 229.67897125567322, 228.7019667170953]",91.758120494794,5.549858202755718
Wife,for-my-beautiful-wife-floral-design-valentines-day-card-root-659sv3292,3.777651730005632,"[4.688471940500338, 4.383198106828939, 4.3656186612576064]",1.7753118826976362,3.267015706806269
Sister,pink-scrolls-sister-spanish-mothers-day-card,3.7796281858588396,"[226.03881562577754, 167.74844488678775, 163.6476735506345]",76.40911552478667,3.9436091724825384
Wife,my-love-my-best-friend-birthday-card-for-wife-root-479fbd8169,3.867479650377,"[252.0053050397878, 247.20020758851342, 235.59335716757005]",95.60758082497213,42.433173117463454
Mother,marjolein-bastin-bouquet-in-birch-vase-christmas-card-for-mom-root-429xxo5274,3.874530775189181,"[178.4861456777833, 53.530280404844866, 44.930313588850176]",43.80714887581048,3.8635378245113614
Mother,floral-red-egg-and-chick-new-baby-card,3.9373965678439977,"[227.96574725076619, 77.00955471425996, 70.69731386334956]",58.56138453217957,2.4082038772628005
Wife,woman-i-love-anniversary-card,3.982292782670568,"[179.9689329131022, 49.65578568212517, 40.19765871229176]",43.16991992654784,4.060116225131429
Husband,beloved-husband-spanish-valentine-card,4.031151652242329,"[150.64955716586152, 60.075080515297905, 53.66384863123994]",40.061452117078716,3.966294816582785
Son,allstar-birthday-card-for-son,4.152886209495103,"[78.717562557924, 43.43535681186284, 40.83920296570899]",23.442503043849605,4.112354189732274
